candidate,modifier,target,category
B0052IGSS8,is short sleeved and solid black and has belts,B005MKBQBK,dress
B005SN1F5I,is just two solid colors and is brown and white,B00B67DET0,dress
B006ACAY0I,is a black dress and is black and long-sleeve,B008A4OT2S,dress
B002YQ3MAS,covers the sholders and is darker and is solid black and longer,B008MZSKS4,dress
B00AFPZBUY, solid color and is longer and solid yellow,B00AFOMFT0,dress
B00BYN092Q,has an animal print and is brown with animal print,B00A8FANIQ,dress
B003IHVHOK,has a medium sleeves with a light in color. and the dress is grey and shorter,B005OORJ8I,dress
B008GQ3M1E,Is more fitted and red and Is more fitting with capped sleeves.,B0072BD06Q,dress
B00FFW0TRW,has a halter top and is lighter and is pink without sleeves,B00DW7SGFY,dress
B008BHS3UI, with a deeper pink color and is more flowy and lighter,B00B0QDSXY,dress
B0073ETM28,is shorter with a pink tie dye print and is shorter and red and white,B005EYSZZO,dress
B005LC23ES,is red and shorter and is red colored with no pattern,B00307RLL6,dress
B0067HLGGC, has no straps and is shorter and is black with colored pattern,B00ALGU3FK,dress
B00CMGP6PY,Is lonf and torquose and is blue with straps,B00CNGCRPA,dress
B0062R1L8A,darker blue and shorter sleeved and is dark blue with shorter sleeves,B004QVWTMQ,dress
B008KSA964,is more colorful and has no sleeves and is sleeveless with a vneck and brightly colored,B007CPTQ1A,dress
B006WQW6K8,has a smaller floral design and short sleeves and has longer sleeves,B004ZY0CBY,dress
B00715FT9O,is black and more parochial and is black with longer sleeves,B00B67AO2A,dress
B00CO6KO0E,is more solid and shorter and is all black with sheer sleeves,B0065L240C,dress
B00CPKGWDW,is shiny blue and less revealing and is shiny and darker,B00BEDIQVM,dress
B007RGMHA6,is an off shoulder blue top and is shorter and off the shoulder,B00824GB22,dress
B00CUDWJJU,is lighter and has shorter sleeves and has no sleeves and and green color,B00CUD9RQI,dress
B006BBKVPG, is printed and is pink and is a geometric print,B009VYW3Y2,dress
B00AKOUZPQ,is solid black with longer sleeves and Is longer,B00C40W020,dress
B008BRM2G4,black u shaped neck dress with long sleeves. Black in color and is solid black,B00712KNGG,dress
B006LFF850,is dark red and shinier. and shinier and red,B006ZQX8RK,dress
B007CDYAAE,has straps and is orange and  more modern solid red,B00DJQN0MW,dress
B0053W3ZCK,uneven designed light green and black dress and is shorter and has a brighter color pattern,B0060FHQI8,dress
B004YKSCX4,Is more whimsical and pink and has thick straps,B004YN2KW0,dress
B0070P0ZLM,has shorter sleeves and no bust embroidery and is plain and shorter sleeves,B00A1HXBNK,dress
B00DZYKQK2,is less revealing and has a V neck and a belt,B00EDTG2PQ,dress
B0074PSMUY,is a black and white dress with straps and is paisley,B006WQXWE2,dress
B009ANVHJG,is black and white tight short dress and is black and white,B006MOS4DS,dress
B00A8FAI86,is longer and has more design and is longer and lighter colored pattern,B00DH7DDRU,dress
B008M4QLLI,is more high-waisted and has a bow and round neck,B008VIRAB0,dress
B00CTT44KW,is shorter with short sleeves and box design and is white and black and shorter,B00CTT50XC,dress
B00CTA0NEW,is long and strapless. and has striped pink near the bottom and a white top. Fit is a lot longer..,B00CTA12Q0,dress
B007Y3CO3C,is shorter and  longer and striped,B008RJZVHS,dress
B0066CUYHK,is a patterned dress and is more flowy and flirty,B0067LQ6M2,dress
B006MOS5IM,is black with long sleeves and has more lace and looser skirt,B005V3N4E0,dress
B0091R7GBE,is white and has no sleeves and is cream and has tank top sleeves,B00741MD2Q,dress
B0030MI3AE,is white and blue and has a higher neckline and no pattern,B0030MIDIQ,dress
B005XIDI4E,half sleeves short black dress and black,B0044BBN52,dress
B00H3QRPPW,is shorter with white stripes and has black and white stripes,B005X0RK96,dress
B00A0S760O,Is more animated and colorful and is darker with short sleeves,B00CZBUOGC,dress
B003MQPIUQ,purple dress with black belt and is shorter floral patterned and has a belt,B003OPYYEG,dress
B009LIFE80,is patterned and more flowy. and Is less colorful,B00DR8UJ08,dress
B00AVWKDTK,Is longer and more formal and is a little longer on the bottom.,B005H1Z6CE,dress
B007B8692M,is more transparent and is solid royal blue,B0078LJ5JQ,dress
B004J9CI6M, and white and grey argyle pattern in the middle and  looser sleeves,B00BY3FON0,dress
B007WA13PC,is white and  halter neck,B008IGU56C,dress
B00AX35G4O,Has a solid fabric with silver studs and sexy and shapes to the body,B00BD03JWM,dress
B004OHD7VY,has plain pattern and is red with no frills,B00FS7K0HI,dress
B00CZ589VA, grey and is long and white,B00D860T5O,dress
B00CPYIJH0,is shorter with purple and black designs and is black with colorful pattern,B006W6PZVK,dress
B00DGPG0SC,is blue and is black and more professional,B006VVMRQW,dress
B00CLZZYQM,is longer and has floral design and has colorful floral print with no straps,B00BRBEBE2,dress
B00B9R6GOC,sleeveless and has no sleeves and multiple stripes,B00ELNWU5K,dress
B0051SQLA4,is simpler cut with colorful embroidery and Browner with shorter sleeves,B00DUFXFWW,dress
B0096MXXC0,Has a dark top and lighter bottom. and has more color patterns,B005UEVJ06,dress
B008EMCCFC,is sleeveless with zipper in center. and has a zipper front,B001ASBT0Q,dress
B005BWQMHW,is pink and has longer sleeves and is pink with sleeves and belted,B008NC8A68,dress
B00BLZGHTQ,Is black and sexy dress and is green colored and no sleeves,B0098BV4P2,dress
B0084JU6JE,sleeveless and has a flared skirt and is girly and sporty,B00A9SQCQ4,dress
B009EU9GHA,is pink with short sleeves and is pink and long-sleeve,B007KJ0I3I,dress
B00D3YFSRA,is long sleeved and is more dark and less red,B00C59LZZS,dress
B003JH7YAK,is sexier and checked red and white and is red and white and more fitted,B00604Z1UY,dress
B00C3ZAXR0,is dark in color with short sleeves and  tighter black,B00A0JHI5Q,dress
B004ZIGJDU,is shorter with a fitted waist and Is shorter and more ruched,B00BG8XYR6,dress
B008006EU2, is more casual and is in solid black.,B00BN3FOA4,dress
B00E3GFPFW,is black and shorter and is black and tan,B0094GAVJ6,dress
B00CHS4EMS,is darker and is darker in color,B00CHS13P4,dress
B004X5B6J2, orange print with scoop neck and black and white stripes and strappy,B00196XK4W,dress
B006J3YAD0,is lighter and longer and Has larger stripes,B008OZTH1G,dress
B007ECF8U4,has buttoned front and looser fit and is blue and more open,B002VLHM4S,dress
B0073114DG,Is less revealing and more basic and is tighter,B00A3Q8G8Y,dress
B003HP6DLK,Is longer and more dressy. and Longer and more blue,B00CEIULHS,dress
B00E3U0VK2,is white and have shorter sleeves and white ruffled v-neck sleeveless shirtwaisted dress,B003AU5JNA,dress
B008BA7THS,is white with red rose pattern and has a lot looser fitting dress in floral white print.,B00DQ5R8S8,dress
B003TLODL4,has shorter sleeves with light grey color and is one-tone and short sleeved,B009ERVM1G,dress
B003XSWAKE,is a lighter color with less pattern and A solid blue dress,B003XT0FKA,dress
B0080EMFGU,is sequined short dress with short sleeves and is shorter and metallic in color with sleeves,B008J17TZQ,dress
B0084DKHUI,is shorter and belted and is in solid red.,B008OC8LAC,dress
B00EIK88G6,has no sleeves and more shiner and Is sexier and shinier,B006586QIG,dress
B00BR3OXYS,has cold shouldersand is animal print and has longer sleeves,B005DC39J4,dress
B00DDHBOYI,is a black maxi dress and is black and more elegant,B00ED7W9GO,dress
B004IK9BLC,has yellow floral prints and is more colorful and longer,B00BBUQZXO,dress
B00CW9N89M,is blue mid length fitted dress with short laced sleeves and is plain blue,B00CS1DE16,dress
B00BM7E6AU,is shorter with a brown belt and has a shorter skirt and sleeves,B00D8DW8CY,dress
B005LBYG4Y,is sleeveless and printed and no sleeves and a grey pattern,B009YKC8DY,dress
B00AEB94S4,is whiter and has a waist band and  darker blue and has straps,B00CXXU0BQ,dress
B007PKEC6Q,is shorter and darker and is more white,B007KSGUDQ,dress
B008CPTBIC,is v necked with solid black print and is in solid black,B003DKXLBO,dress
B00BWYRQOQ,its dark blue in color and is blue with thinner sleeves,B008ZAYKPS,dress
B004FLJJ8O,is longer with floral pattern and Is shorter and tighter fit in purple,B008PAJYPY,dress
B00C11OI1S,is black and white with a black belt and is darker in color and more flowy,B00DWGK5UY,dress
B00BUJEBB4,is less revealing and consistent with one color and Is more revealing,B00CG06R0Y,dress
B009LIK4XA,royal blue collared short dress and is a blue shirt dress and is shorter and casual,B0070QMTYW,dress
B00AVWT55S,is shorter and is white and shorter length with belt,B00BP0WKPW,dress
B00CX4237O,More vibrant and not ruffled and is red and green and has less frills,B00CXAPHHG,dress
B008IEF7NK,is more of white than black and a round neck and has no sleeves and black and white color,B0080E5N0K,dress
B002P6IOHI,has shorter sleeves and solid color and has shorter with no sleeves and more burgundy,B008IE0V9U,dress
B006LFT3RY,is a floral print dress and is lighter orange and longer sleeves with belt,B00AYXA7TM,dress
B009RVDEMO,Is a bit shorter and more  fitted and has a slightly higher neckline,B005M0ICIK,dress
B003RRWD62,is printed and short sleeved and Is more sexy and colorful,B005EVNJ1C,dress
B008XOBYGE,has a stripy pattern and has yellow and purple stripes,B006WRXVY2,dress
B00B0QC772,is pink with shorter sleeves and is pink with short sleeves,B00BXXLJTY,dress
B00C65Y800,is tighter and no collar and is shorter,B00E1BG4Y0,dress
B007TWJFNU,has no collar and is solid grey and is one color,B0086SFRHO,dress
B00D503P5Y,is short and black and darker and shorter,B00AHGAONU,dress
B00F0K4N4O,has thinner straps and is black and is darker and has thin straps,B003VYAV5Q,dress
B0058YS7FI,is black with a u neck shape and short sleeves and is black with a higher neckline,B008L1P582,dress
B00GO987SS,is louder and shorter and has more graphics,B008RBA9BO,dress
B00APFEPRY,is solid red and slimmer and is less open and flowing,B00C19J7GG,dress
B00EIQLXTE,has horizontal stipes and more colours and is short sleeves and stripped with different colors,B00EIQK9WQ,dress
B004MGVBPG,is longer with straps and bow belt and  long sleeved,B004NGNG44,dress
B006W1TYE4,is shorter and is blue and is blue and is shorter,B00AXU14BQ,dress
B007GAFWB4,is white and black and is lighter on the top,B007RB7C6A,dress
B009DI5V2C, with an american flag in the middle frame and  has a graphic,B007WATNFE,dress
B00CSI12W2,is a longer solid black sleeveless and is longer and all black,B009MPNO98,dress
B00ATLH0HQ,Is black with long sleeves. and is more black and has less pattern,B008DCP99Y,dress
B005UXSVVM,is shorter and purple and magenta with thicker straps,B005W3E2PE,dress
B007520NXU,is written Jones New York and na,B00ALTB0PY,dress
B00BSWF93W,is shorter with flared sleeves and is darker and shorter,B00A13BI2U,dress
B0097IWXM4,is longer and solid white like gown and is longer,B0091QS2YU,dress
B008D9AMUI,has a belt and a lower neck line and is more darker,B006PHEWE2,dress
B005915366,is green with no sleeves and is sleeveless in blue.,B007I6BXOG,dress
B004USQGFQ,is a little longer with a high-low hem and is black and magenta,B009PPPO4I,dress
B006QII0FC,is black and longer and  belt and short sleeves.,B007CTM8S4,dress
B00BIPLLKE,is shorter and stripped and is striped in a different design with sleeves.,B00CLF477O,dress
B007XXL5RO,is tye dyed and shorter and is sleeveless with a different pattern,B00B7RRF1M,dress
B005SGATXE,long black dress and is much longer and has no sleeves,B00D7847ZQ,dress
B007IS2ALE,is purple with short sleeves and is purple with short sleeves,B005KLV20Q,dress
B002KHN8A0,is tighter fitting with floral print and is red with floral pattern,B002PJ5EOQ,dress
B006W1VGOU,is shorter and is striped and a bit shorter,B006WJC8K8,dress
B009LUJQ7S,Is more elegant and has three quarter length sleeves and is fully patterned,B009MP8HVS,dress
B007XD6H9A,Is more revealing and whimsical and is animal print with longer sleeves,B00858S4M0,dress
B007XDE70G,is longer and less revealing and is longer and less revealing,B009AO2FS2,dress
B0037Z7LOI,has a tighter fit and is sequence and is shorter and shinier,B00632P0MC,dress
B00CDZCIDC,is bright green with a brown belt and is green,B00E1QB62A,dress
B00ATYH2DA,has thicker sleeves and solid black and Is black and more flowing,B00AQTODZ8,dress
B00BOEM842,is more blue and too loud,B00BOEMFMC,dress
B007T0JD98,has lots of pink ruffles and is pink and more frilly,B0077V74J0,dress
B00APC9I8S,has very short sleeves and is cap sleeved two piece outfit.,B009KQVPPE,dress
B00DQ51R2G,Is a darker and is black and more revealing,B00B1OSUM4,dress
B007WAEN86,is black and has a u shaped neck and is less red and more black,B00902B6BQ,dress
B00BUZHBGA,is no shoulder and has belt and is strapless with a belt and more red in colour,B00BRUTG66,dress
B00EPLZNXY,is floor long and printed black and white and is printed and looser,B00DH06XU6,dress
B005SN1PVC,has blue yellow abstract print and is shorter and is more colorful,B007V1QDNO,dress
B007GB209U,its longer and more colorful print and has colorful stripes,B008SCGZVK,dress
B0052C9JUI,Is a strapless geometric pattern dress. and has more blue and more designs,B0052C9J3U,dress
B00AX35G4O,has thinner straps and is lighter and Is lighter in color and more modest,B00EDQ5962,dress
B00CGTC9DY,Is belted and is short sleeves and bold green printed,B00B8QNLA6,dress
B007RM3HMW, blue and is pink and white,B003DZ0ZQ8,dress
B0088MVHJ0,is more blue and revealing and is blue and more revealing,B007TFM2YQ,dress
B00DSDMNCE,if more flowing and more flowing and dark,B00CQ9EN10,dress
B007FP4YBO,is a two color dress with less sleeves and is two-toned and tighter,B005UXBYNE,dress
B00F9YP0U2,is off one shoulder and is red with one strap,B0041FILI8,dress
B008CQJ9D8,has more sequence and is darker and is more pink and less revealing,B0051931YC,dress
B00B0Q6VC4,is fuchsia pink colored and is a solid magenta color,B008595Q9I,dress
B003YDYR5E,has only one color with a furrier bottom and has no sleeves,B002ZG8RUW,dress
B0069TCQ3A,Is black solid color. and is black with shorter sleeves,B004OBZ9PC,dress
B008NG1LH4,Longer and no stripes and has long sleeves,B00E1UZ63Q,dress
B0054GX868,is blue in color tight skirt and slim fit and has side slits and is blue,B00DBJZAFC,dress
B00A36NLFW,is longer and has shorter sleeves and no neck trim,B00A36MTLE,dress
B005GYGK4A,has short sleeves and is brown and black and has a tan short sleeved top,B008PCHXYG,dress
B0094N8PX8,is a pale purple with spaghetti straps and is a more clean white without arms.,B0097JHMOW,dress
B00BM9KPSK,is more casual with tank top and has stripes and is black and white,B00A16FGUW,dress
B0042ET3NK,is lighter and has straps instead of sleeves and is a brighter pattern,B001VEHYLW,dress
B003WE9T8U,Is a short white cold shoulder dress with a belt. and Light & Dark color,B006NV6CVG,dress
B00D68E1Y4,is off white with black sports and brown belt and is less revealing and yellow,B00CI42NVA,dress
B006O3EH7Y,is dark blue long with a long slit and a single left sleeve and has one sleeve and is blue,B008S4CQCU,dress
B00AHGCAW8,is a turtleneck dress and is warmer,B00DQ08TOK,dress
B006ZJ76NE, has no sleeves and doesn't have sleeves,B00C40YH8U,dress
B00CIETF8O,is more casual with sleeves and lighter colored and deep v,B00CEIVAT6,dress
B00B7DOKTQ,is shorter and has floral print and is more floral,B004RNZKGU,dress
B008PHPA3C,is lighter with an animal print and has straps instead of sleeves and has a brighter pattern,B008GZTEMQ,dress
B0085J4K4U,is shorter and shinier and has pockets and is above the knee,B0094D087E,dress
B009P84EDM,short multi colored dress and hits above the knee and is striped.,B009ZRKV6W,dress
B006IN83FW,patterned and has a higher neckline and has white,B0085JGW3C,dress
B007R1PZVE,has no sleeves and two strips at te bottom and has a pink strip along the bottom without sleeves.,B0082ABFEA,dress
B00A3Q8G8Y,is brighter in color and has more fabric,B0073AFLI6,dress
B007VCCKPS,Is darker and more patterned and Is more fitted and fun,B0099NV9N6,dress
B00EC135HS,black dress with collars and buttons and is 3/4 sleeves and solid black,B00A3UTD5U,dress
B00BR6QL7W,the provided productut looks more expensive than the desired and has a higher,B0089E64S6,dress
B008HRM9WU,peplum white dress with skirt and top and is solid white,B00FFBEY88,dress
B00E99QK66,is lighter and has shorter sleeves and is lighter and has shorter sleeves,B00E1MCUY2,dress
B007K4XTKC,has longer sleeves and darker colors and is sea through,B005G0482K,dress
B006W4WKHE,is a half strap and is more blue with an animal print,B007WPHBGW,dress
B00DYB1Q28,is a bit more colorful and All pink and puple outlines of designs,B00DNKC944,dress
B0053ELL4W,more simple in solid yellow and is more promy and is yellow,B003NSXZ94,dress
B0098QGAWE,has longer sleeves and orange colored and has longer sleeves,B008BMQ50S,dress
B008S4CQCU,is sleeveless and has a pattern and Has 2 shoulders and has a pattern,B00D7FL946,dress
B00ADIDHBI,is white with stripes and has more lace and has straps,B00AUQFOTQ,dress
B002UWIYTU,Is maroon and has straps. and  strapless top,B00AXDA3T2,dress
B00CC24T24,is form fitted with no sleeves and has sleeves and lighter colors,B00ECG1RDC,dress
B00D7OS16G,is more flared and has higher neckline and has a darker top,B00A7B7BH2,dress
B0070QMTYW,has longer sleeves and is looser and identical,B0058YS7FI,dress
B009DMP114,is black and white and is longer and white instead of black,B007C2AW1G,dress
B0067M3LGA,is dark red and longer,B0087CI62W,dress
B00DN2E5UI,This dress has a tropical feel and hawaiian pattern and shallower neck,B006QQPFPW,dress
B009NCHCAM,is shorter and lighter and is more solid colored,B009WJ0MZI,dress
B008PCI13I,is longer with solid stripes and pockets and has stripes,B007WAF0YW,dress
B00CY942GS,has darker colors and has a red top and grey bottom with sleeves added to it.,B00F4MYSLG,dress
B0073VE2X0,is darker in color with short sleeves and is shiny and shorter with short sleeves,B0044WVG1C,dress
B00G0G376M,is blue and has a higher neckline and is blue and less revealing,B00FKEHK6S,dress
B00C931A8C,is a light blue fitted dress and is more professional,B00DJZLXFE,dress
B00CTT50XC,has longer sleeves and has longer sleeves,B00CDAL83I,dress
B005TNPR9M,is gray and black with thicker straps and is black abd gret,B005LJDHVY,dress
B00AO1VSVK,is an off shoulder and floral and is darker and one-armed,B0055QA5JK,dress
B004I6CSA2,has longer sleeves and has sleeves,B00A77JXQS,dress
B007H9KZKM,is a grey skirt with white cross designs on it and shows less skin and is more monochromatic,B004A7XK9M,dress
B000PIGECA,is less glamorous looking and has longer sleeves and is white colored,B003HE66SG,dress
B00CTKMK4S,has shorter sleeves with prints and has a printed image of a building,B00D8WMJME,dress
B009AAR4GE,is darker green and longer sleeves and More pleated and green,B00CDCD4GK,dress
B00CKXPMQ2,is looser and flowing and cute,B00AFXXH8O,dress
B00CP1DJFA,is black and flows and is black and formal.,B00CHMVBNO,dress
B0091QVUHQ,is name Jones New York and na,B00B2JHHBS,dress
B00937VQIQ,is a striped jacket and is pants and a jacket,B00BJEP6OQ,dress
B00GX9SPR2,more revealing and v shaped at the cleavage. and the dress has many colors and more revealing,B00A76ZL3S,dress
B003XIHXW4,Is more evening and less whimsical and  patterned and has sleeves,B009H29KIU,dress
B00CJTAM30,is short and classy and is hatched red and black and shorter with a jacket like top.,B00GOITRZG,dress
B007IXDC7U,Has more coverage and is more colorful and has a unique art pattern and is darker,B008J7I8LY,dress
B0031M9YRO,has camo pattern and is blue with stripes,B00378KQO2,dress
B008LR38J4,is striped and has black and white stripes and fits similarly.,B00AKB3ZC4,dress
B0054O6H4A, white in color and it is white and red and less revealing,B00763VYJU,dress
B0054R7P3Y,is green and smaller in size and A vibrant green is a more textured fabric,B008LVG8GU,dress
B00EIQD91E,is strapless and is more red and less sleeved,B007NLX0ZQ,dress
B0077LFHMG,is white with black accents and has long sleeves and is blue patterned,B00CBUSHU2,dress
B00833D6NO,is purple and sleevless and a fuchsia ruffled plunge neckline with high low skirt,B00CZ6G6GE,dress
B00857SK2K,sleeveless and solid yellow and is yellow with a halter top,B005W2G4HY,dress
B007N6ZN5G,is less revealing and has more color and sleeves,B007N6ZJNM,dress
B00D65PZPQ,is more revealing and stripped and  and has shorter sleeves,B00845RYZW,dress
B00AHGAAUW,has longer sleeves and is grey and white with a tie waist,B007Z37CJC,dress
B00BAY3QCE,has more lace and is more provocative and is black,B009WU0Y4G,dress
B003XZWE3A,is darker and has longer sleeves and is black and short,B00AW1R16I,dress
B008R527JW,Is solid and darker with long sleeves. and is darker and has longer sleeves,B008FEOHC0,dress
B008OVOV8Y,is brown shaded and is long sleeved and a lined,B007WAD292,dress
B00DFW140K,has longer sleeves in a darker color and Is a lighter coloring with flowers and no sleeves.,B0050JBWCQ,dress
B009UZSZBW,is darker and is black,B005X0AUFM,dress
B002CJFNEK,has a one shoulder sleeve and Is lighter in color and has a different neckline,B005XEN2PS,dress
B00DR7EKRW,is identical and is a bit more flowing,B00DR7EKPY,dress
B003U6XVXE,Is longer in solid dark color and is black with longer sleeves,B007R9TF1M,dress
B0072IKV9S, and red pattern and is brown with short sleeves,B004P2KWHA,dress
B00C6XKSYW,is red with longer sleeves and is red with a bow tied in the front,B008CO7ODM,dress
B0035WTC5E,Has a flared skirt and solid straps. and has more colors and longer,B0033PRQ7E,dress
B004JU2BAY,is flowery and brightly colored and is longer with purple and white pattern,B004JXVVCK,dress
B00307RLL6,is lighter and is bright yellow,B00BBKYSJM,dress
B008ZSN7M2,has a tube top and has more ruffles and Is shorter and sexier,B00BU4TLH8,dress
B00DSI8OQS,is similar but more coloured with more blues and black and is more blue,B008LRMY26,dress
B0083JA40Q,dark long sleeve dress with cow neck collar and Is more casual  with  longer sleeves,B006G2AJFM,dress
B000Y3M52Y,is less revealing with a floral pattern and has longer sleeves and pattern,B00DYB1Q28,dress
B0095FP38K,is white with closed neck and is almost all white with little black lace,B00EEJU2TC,dress
B008EMCCFC,Is tighter with a cold shoulder. and  excluding the shoulders.,B005M0RI6C,dress
B007UM53BM,is longer with a v neck and has two straps and is shorter,B007UM4YM6,dress
B004ZIGJDU,is shorter and lighter and The desired product is shorter in length than the provided product.,B0089FSQKE,dress
B000E6IEHQ,is more modest with a turtle neck and has long sleeves and pants,B006X53KX0,dress
B005UXSVVM,is shorter and lighter and is shorter,B004HEXH0U,dress
B009ANVFZW,has transparent net sleeves and Has longer sleeves and sexier,B008LXSKBO,dress
B00C4OMRUQ,is shinier  with spaghetti straps and is red with short straps,B008BA7THS,dress
B007V0B37G,the blue color and less shiny and bold and is lighter and shinier,B005X4PFE4,dress
B007FP788K,the black dress is more fashionable and mature and black and shorter,B0073NCTZ6,dress
B0084YEHGC,has longer sleeves and has a pattern and is more patterned and flowy,B00CUALGAQ,dress
B0035LDH7O,Is shorter with lighter fabric. and the dress is silver and more revealing,B0076FD3EC,dress
B001DOKB60,is white with a blue print on bottom and has no sleeves and is white colored,B00DCCA21A,dress
B00A88GD64,Is all red with a fitted jacket and is in solid red with a tied jacket top.,B008FXGEQS,dress
B00CMTD5GS,is darker and has longer sleeves and is black and short,B008BHHY0I,dress
B00C70IBXO,is solid black and is solid black in color,B008U8XM4K,dress
B0046QFKWW,is v shaped neck and orange with no sleeves and A longer dress with white belt,B006V3F852,dress
B0058TYWEI,Sexier and not long-sleeve and More monochromatic and longer,B0057TE532,dress
B0082GUBW6,has a very cute image design and has a panda design,B009B9U78Q,dress
B00E1CC7G8,is longer and more formal and is longer and black with white trim at neck,B00BWRLUZY,dress
B00CI42NVA,is more fitted and has a colorful pattern and is much longer and darker in color,B00FAPOFYW,dress
B00BLHGQRC,Darker and see through and is darker and has shorter sleeves,B00BNRLBA2,dress
B004UOVT0W,is shorter and tighter and is lighter and has shorter sleeves,B00DOS8566,dress
B008FVESQS,has longer sleeves and polka dots and has sleeves and is a white and black color.,B008VEPH1Y,dress
B00D8RZKTS,is a green color and is kiwi green and shimmery,B00D8RZKO8,dress
B007G10BPA,is long and purple and is longer and more elegant,B00B9B8CJU,dress
B00APE0XGM,is more gold and revealing and is gold with straps,B00D61YDJO,dress
B0065RQ4LG,sandal with flat heels and is a sandal and lighter in color,B007V7PMWG,dress
B009JY640I,is longer and is longer and black and white,B005C8X764,dress
B00B1JXZ7O,is long and black and is black and longer,B00C24N8ZQ,dress
B005ZNFK5C,Is black with feathers. and strapless,B0093ANHDU,dress
B008VUZF92,is solid black and is a skirt,B00AKO82FQ,dress
